id,name,category,description,price,datetime,location,image_url,url
evt_1358010990429,Calligraphy 1hr class @ the heart of Kyoto,Culture,Learn the art of beautiful writing in the heart of Kyoto with our Calligraphy class - come join us for a creative and cultural experience!,"\u00a55,000",2025-07-15T11:00:00+09:00 → 2025-07-15T12:00:00+09:00,"Location Gojo Paradiso 五条パラディソ Gojo Paradiso 五条パラディソ Kyoto, Kyoto 600-8116 Get directions",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F772582529%2F2077454331673%2F1%2Foriginal.20240521-072847?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C549%2C5470%2C2735&s=b35f2236fb1d2c895c51c3b8e7ee232c,https://www.eventbrite.com.au/e/calligraphy-1hr-class-the-heart-of-kyoto-tickets-1358010990429
evt_1358009696559,Calligraphy 2hrs class @ the heart of Kyoto,Culture,Learn the art of beautiful writing in the heart of Kyoto with our Calligraphy class - come join us for a creative and cultural experience!,"\u00a58,500",2025-07-08T12:00:00+09:00 → 2025-07-08T14:00:00+09:00,"Location Gojo Paradiso 五条パラディソ Gojo Paradiso 五条パラディソ Kyoto, Kyoto 600-8116 Get directions",https://cdn.evbuc.com/images/929305043/2077454331673/1/logo.20250107-052604,https://www.eventbrite.com.au/e/calligraphy-2hrs-class-the-heart-of-kyoto-tickets-1358009696559
evt_1440260882069,Calligraphy with Meditation 1.5hrs class @ the heart of Kyoto,Culture,Experience traditional culture while feeling Japan's aesthetic sense through calligraphy. Face yourself and enjoy the tranquility.,"\u00a57,000",2025-07-18T11:30:00+09:00 → 2025-07-18T13:00:00+09:00,"Location Gojo Paradiso 五条パラディソ Gojo Paradiso 五条パラディソ Kyoto, Kyoto 600-8116 Get directions",https://cdn.evbuc.com/images/1061725983/2077454331673/1/logo.20250627-053046,https://www.eventbrite.com.au/e/calligraphy-with-meditation-15hrs-class-the-heart-of-kyoto-registration-1440260882069
evt_1358031110609,"Japanese Instrument ""Koto"" 1.5 hours class @ the heart of Kyoto",Culture,"Immerse yourself in Japan's rich culture! You'll get the unique opportunity to learn to play the traditional Japanese instrument, Koto.","\u00a55,000",2025-07-16T10:30:00+09:00 → 2025-07-16T12:00:00+09:00,"Location Gojo Paradiso 五条パラディソ Gojo Paradiso 五条パラディソ Kyoto, Kyoto 600-8116 Get directions",https://cdn.evbuc.com/images/1025971203/2077454331673/1/logo.20250508-025437,https://www.eventbrite.com.au/e/japanese-instrument-koto-15-hours-class-the-heart-of-kyoto-registration-1358031110609
evt_1459049358909,Bem Estar com Você,Culture,Bem Estar com Você - Dia13 de julho você terá uma experiência imersiva e transformadora voltada ao desenvolvimento pessoal e profissional!,Gratuito,2025-07-13T10:30:00+09:00 → 2025-07-13T15:30:00+09:00,"Localização Hisaihigashitakatomachi 246 Tsu, Mie 514-1136 Como chegar",https://cdn.evbuc.com/images/1065728213/2822307846161/1/logo.20250703-042047,https://www.eventbrite.com.br/e/bem-estar-com-voce-tickets-1459049358909
evt_1451519637309,１日 気功＆マインドフルネス リトリート,Culture,このイベントは、１日中気功とマインドフルネスに集中してリフレッシュし、リラックスする贅沢な機会です。定員あり。,"\u00a510,599",2025-07-21T09:00:00+09:00 → 2025-07-21T17:00:00+09:00,"Location Maniji 624 Kakuji Tottori, Tottori 680-0003 Get directions",https://cdn.evbuc.com/images/1064899773/3129872812/1/logo.20250702-065438,https://www.eventbrite.com/e/1-registration-1451519637309
evt_1247707920979,100 Cities Project: Fighting Loneliness | Dinner with Strangers (69),Cuisine,"City life can be lonely, especially when you're surrounded by so many people. Take the opportunity to meet others hoping for new connections",$12.51,2025-02-24T20:00:00+09:00 → 2025-12-22T22:00:00+09:00,"Location Osaka Osaka #１F Osaka, Osaka 541-0057 Get directions",https://cdn.evbuc.com/images/957710943/2590974569761/1/logo.20250211-044105,https://www.eventbrite.com/e/100-cities-project-fighting-loneliness-dinner-with-strangers-69-tickets-1247707920979
evt_1247708592989,100 Cities Project: Fighting Loneliness | Dinner with Strangers (70),Cuisine,"City life can be lonely, especially when you're surrounded by so many people. Take the opportunity to meet others hoping for new connections",$12.51,2025-02-24T20:00:00+09:00 → 2025-12-22T22:00:00+09:00,"Location Osaka Osaka #１F Osaka, Osaka 541-0057 Get directions",https://cdn.evbuc.com/images/957710943/2590974569761/1/logo.20250211-044105,https://www.eventbrite.com/e/100-cities-project-fighting-loneliness-dinner-with-strangers-70-tickets-1247708592989
evt_1262278291349,"10th International Conference on Systems, Control and Communications -ICSCC",Culture,"Join us at the 10th ICSCC for cutting-edge discussions on systems, control, and communications!",$344,2025-12-19T10:00:00+09:00 → 2025-12-21T18:00:00+09:00,"Location 名古屋梅尔帕尔克酒店 Hotel Mielparque Nagoya Nagoya, Aichi 461-0004 Get directions",https://cdn.evbuc.com/images/1029484173/183335629407/1/logo.20250513-091843,https://www.eventbrite.com/e/10th-international-conference-on-systems-control-and-communications-icscc-tickets-1262278291349
evt_1387458859799,11th International Conference on Chemical and Food Engineering (ICCFE 2026),Cuisine,Get ready for a mind-blowing experience at ICCFE 2026 where chemical and food engineering collide in the most fascinating ways!,$385.99,2026-04-03T10:00:00+09:00 → 2026-04-06T18:00:00+09:00,"Location 大阪公立大学 杉本校區 3-3-138 Sugimoto Sumiyoshi-ku, Osaka-shi, 558-8585, Japan Osaka, Osaka 558-8585 Get directions",https://cdn.evbuc.com/images/1041380413/272912231882/1/logo.20250529-092250,https://www.eventbrite.com/e/11th-international-conference-on-chemical-and-food-engineering-iccfe-2026-tickets-1387458859799
